Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10165514,1,"Monday, January 31, 2011 02:18:56 UTC",61.7780,-150.6586,2.0,59.60,20,"Southern Alaska"
nc,71522476,0,"Monday, January 31, 2011 02:14:00 UTC",36.4695,-120.6592,1.5,5.00, 5,"Central California"
ci,14925324,2,"Monday, January 31, 2011 01:58:36 UTC",35.9865,-117.6973,1.4,4.80,17,"Central California"
ci,14925316,2,"Monday, January 31, 2011 01:46:27 UTC",34.5177,-119.1942,1.7,7.10,11,"Southern California"
ak,10165507,1,"Monday, January 31, 2011 01:44:27 UTC",63.9619,-148.9171,1.6,0.00,13,"Central Alaska"
ci,14925308,2,"Monday, January 31, 2011 01:37:08 UTC",33.7800,-116.1447,1.8,6.30,74,"Southern California"
ak,10165504,1,"Monday, January 31, 2011 01:26:31 UTC",60.5327,-152.0564,2.6,52.40, 9,"Southern Alaska"
nc,71522466,0,"Monday, January 31, 2011 01:15:53 UTC",38.8433,-122.8322,1.2,2.00, 9,"Northern California"
nc,71522461,0,"Monday, January 31, 2011 01:14:44 UTC",37.8473,-122.0265,1.6,4.10,11,"San Francisco Bay area, California"
nc,71522451,0,"Monday, January 31, 2011 00:55:52 UTC",38.8380,-122.8302,1.2,2.60,19,"Northern California"
ak,10165500,2,"Monday, January 31, 2011 00:55:50 UTC",52.3880,-174.2925,2.8,200.30,16,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10165495,1,"Monday, January 31, 2011 00:46:55 UTC",60.8518,-152.4602,2.4,116.90,21,"Southern Alaska"
uw,01310001,1,"Monday, January 31, 2011 00:01:15 UTC",47.8125,-122.7661,1.6,17.80,25,"Puget Sound region, Washington"
ak,10165483,1,"Sunday, January 30, 2011 23:50:01 UTC",61.8378,-152.0187,2.0,7.60,17,"Southern Alaska"
ak,10165484,2,"Sunday, January 30, 2011 23:49:41 UTC",65.9041,-150.5130,1.4,14.30, 8,"northern Alaska"
ci,14925260,2,"Sunday, January 30, 2011 23:45:09 UTC",35.0358,-117.6703,1.6,2.20,24,"Southern California"
ak,10165480,1,"Sunday, January 30, 2011 23:28:55 UTC",61.3909,-151.2215,2.1,68.70,13,"Southern Alaska"
ak,10165477,2,"Sunday, January 30, 2011 22:50:20 UTC",58.6128,-150.7842,2.6,35.80,24,"Gulf of Alaska"
nc,71522441,0,"Sunday, January 30, 2011 22:32:08 UTC",38.7908,-122.7797,0.4,2.80,14,"Northern California"
nc,71522436,1,"Sunday, January 30, 2011 22:24:14 UTC",37.8335,-121.7878,2.5,13.70,54,"San Francisco Bay area, California"
ak,10165471,1,"Sunday, January 30, 2011 22:12:24 UTC",63.5764,-147.3024,1.6,0.00, 9,"Central Alaska"
ci,14925236,2,"Sunday, January 30, 2011 22:07:41 UTC",32.9988,-116.3405,1.7,11.50,39,"Southern California"
nc,71522426,0,"Sunday, January 30, 2011 22:03:36 UTC",36.5945,-121.2013,1.9,2.70,15,"Central California"
nc,71522421,0,"Sunday, January 30, 2011 22:03:00 UTC",38.8242,-122.7902,0.5,3.20,12,"Northern California"
nc,71522416,0,"Sunday, January 30, 2011 21:55:08 UTC",38.8115,-122.8210,1.0,2.70,15,"Northern California"
us,b00016jz,8,"Sunday, January 30, 2011 21:48:28 UTC",-29.9482,-71.4059,4.9,50.80,107,"offshore Coquimbo, Chile"
ak,10165456,1,"Sunday, January 30, 2011 21:18:51 UTC",61.6835,-151.9128,2.2,103.90,26,"Southern Alaska"
ci,14925220,2,"Sunday, January 30, 2011 21:11:51 UTC",32.5175,-115.6900,2.3,3.50,25,"Baja California, Mexico"
nc,71522396,0,"Sunday, January 30, 2011 21:08:29 UTC",38.8153,-122.7892,0.6,2.90, 7,"Northern California"
hv,60209716,1,"Sunday, January 30, 2011 20:47:12 UTC",19.2787,-155.8037,2.3,9.60,27,"Island of Hawaii, Hawaii"
ci,14925204,2,"Sunday, January 30, 2011 20:17:38 UTC",33.5135,-116.4603,1.0,13.20,18,"Southern California"
nc,71522386,1,"Sunday, January 30, 2011 20:01:01 UTC",38.8128,-122.7912,1.6,2.70,24,"Northern California"
us,b00016jg,5,"Sunday, January 30, 2011 19:51:52 UTC",-38.3506,51.3456,4.9,14.90,26,"South Indian Ocean"
nc,71522376,0,"Sunday, January 30, 2011 19:40:07 UTC",38.8330,-122.8805,0.3,1.70, 5,"Northern California"
ci,14925164,2,"Sunday, January 30, 2011 19:08:35 UTC",33.3820,-116.4670,1.0,21.90,21,"Southern California"
us,b00016j9,3,"Sunday, January 30, 2011 18:58:18 UTC",27.3396,53.4237,4.7,36.60,47,"southern Iran"
nc,71522361,0,"Sunday, January 30, 2011 18:56:39 UTC",38.8407,-122.7723,1.0,2.70,10,"Northern California"
ak,10165441,1,"Sunday, January 30, 2011 18:48:55 UTC",62.4435,-149.0271,2.0,17.80,19,"Central Alaska"
us,b00016ig,8,"Sunday, January 30, 2011 18:34:19 UTC",27.0016,143.7438,5.3,28.80,220,"Bonin Islands, Japan region"
ci,14925140,2,"Sunday, January 30, 2011 18:32:17 UTC",32.5990,-115.6832,2.7,10.70,43,"Baja California, Mexico"
us,b00016i6,7,"Sunday, January 30, 2011 18:27:52 UTC",-15.9917,167.0673,5.3,159.80,27,"Vanuatu"
ak,10165418,2,"Sunday, January 30, 2011 18:19:23 UTC",60.6177,-152.0332,4.0,76.40,38,"Southern Alaska"
us,b00016hu,6,"Sunday, January 30, 2011 18:04:37 UTC",27.1453,143.6297,4.7,10.20,61,"Bonin Islands, Japan region"
ld,1026780,1,"Sunday, January 30, 2011 17:55:56 UTC",44.7378,-74.5838,2.3,21.00, 8,"New York"
nc,71522346,1,"Sunday, January 30, 2011 17:30:51 UTC",38.8202,-122.7878,1.7,2.40,22,"Northern California"
nc,71522341,0,"Sunday, January 30, 2011 17:27:33 UTC",38.7867,-122.7725,0.6,1.40,12,"Northern California"
us,b00016g7,7,"Sunday, January 30, 2011 17:05:42 UTC",-2.8496,100.2033,4.6,36.50,47,"Kepulauan Mentawai region, Indonesia"
nc,71522336,0,"Sunday, January 30, 2011 17:03:49 UTC",38.8100,-122.7912,1.1,3.20,15,"Northern California"
us,2011gtba,5,"Sunday, January 30, 2011 16:41:20 UTC",0.5130,128.6272,4.9,2.20,51,"Halmahera, Indonesia"
us,2011gta9,4,"Sunday, January 30, 2011 16:37:35 UTC",-7.1416,117.2087,4.3,600.60,23,"Bali Sea"
ak,10165398,1,"Sunday, January 30, 2011 16:26:37 UTC",62.5360,-148.4519,1.9,35.10,22,"Central Alaska"
ci,14925052,2,"Sunday, January 30, 2011 16:13:32 UTC",34.1135,-117.4532,1.2,9.80,23,"Greater Los Angeles area, California"
us,2011gta8,3,"Sunday, January 30, 2011 16:03:14 UTC",-19.0163,169.2985,4.5,235.60,30,"Vanuatu"
hv,60209686,1,"Sunday, January 30, 2011 15:56:42 UTC",19.3762,-155.2342,2.2,3.70,12,"Island of Hawaii, Hawaii"
us,2011gta6,4,"Sunday, January 30, 2011 15:49:46 UTC",4.7797,96.1711,4.4,42.80,27,"northern Sumatra, Indonesia"
nc,71522326,1,"Sunday, January 30, 2011 15:45:19 UTC",35.6968,-121.0237,2.6,6.80,52,"Central California"
nn,00325457,7,"Sunday, January 30, 2011 15:27:47 UTC",36.4343,-116.8243,1.6,5.50,17,"Central California"
ak,10165388,1,"Sunday, January 30, 2011 15:17:58 UTC",61.4639,-146.6159,1.9,20.90,14,"Southern Alaska"
ak,10165381,1,"Sunday, January 30, 2011 14:46:28 UTC",63.4879,-147.7621,1.8,0.00,20,"Central Alaska"
ak,10165382,2,"Sunday, January 30, 2011 14:44:56 UTC",61.1618,-152.2101,0.4,9.00,11,"Southern Alaska"
ci,14925028,2,"Sunday, January 30, 2011 14:32:27 UTC",32.5767,-115.7822,1.9,4.00,28,"Baja California, Mexico"
ci,14925020,2,"Sunday, January 30, 2011 14:16:24 UTC",33.6857,-116.6902,1.1,18.10,32,"Southern California"
hv,60209676,1,"Sunday, January 30, 2011 14:01:34 UTC",19.3805,-155.2430,2.3,3.60,10,"Island of Hawaii, Hawaii"
nc,71522316,1,"Sunday, January 30, 2011 13:59:55 UTC",38.8347,-122.8102,1.9,2.60,33,"Northern California"
ak,10165371,1,"Sunday, January 30, 2011 13:59:01 UTC",62.9880,-149.2456,1.9,82.20,16,"Central Alaska"
nc,71522306,0,"Sunday, January 30, 2011 13:46:00 UTC",38.7737,-122.7535,0.6,0.00, 7,"Northern California"
nc,71522301,3,"Sunday, January 30, 2011 13:39:41 UTC",37.8485,-122.0308,2.1,5.30,89,"San Francisco Bay area, California"
nc,71522296,3,"Sunday, January 30, 2011 13:08:56 UTC",38.5683,-122.4698,2.0,9.10,66,"Northern California"
us,b00016d5,7,"Sunday, January 30, 2011 13:03:06 UTC",-19.5742,168.4761,4.8,35.00,38,"Vanuatu"
nc,71522281,0,"Sunday, January 30, 2011 12:54:17 UTC",38.8148,-122.7947,0.9,3.10,16,"Northern California"
ak,10165360,1,"Sunday, January 30, 2011 12:53:44 UTC",65.1871,-149.9895,1.4,4.30, 8,"northern Alaska"
us,b00016d2,4,"Sunday, January 30, 2011 12:37:25 UTC",26.8608,143.5633,4.8,10.20,24,"Bonin Islands, Japan region"
nc,71522266,0,"Sunday, January 30, 2011 12:25:29 UTC",38.8247,-122.7915,0.9,1.80, 5,"Northern California"
ak,10165355,2,"Sunday, January 30, 2011 12:21:03 UTC",60.2962,-152.4988,2.2,113.20,25,"Southern Alaska"
us,b00016cz,6,"Sunday, January 30, 2011 12:15:46 UTC",53.8960,160.2059,4.7,67.70,86,"near the east coast of the Kamchatka Peninsula, Russia"
nc,71522256,0,"Sunday, January 30, 2011 12:12:48 UTC",37.8475,-122.0277,1.4,5.00,14,"San Francisco Bay area, California"
ci,14924988,2,"Sunday, January 30, 2011 12:00:00 UTC",32.9978,-116.4590,1.3,7.30,46,"Southern California"
ak,10165349,1,"Sunday, January 30, 2011 11:57:08 UTC",60.8012,-149.7506,1.6,31.30, 8,"Kenai Peninsula, Alaska"
nc,71522241,2,"Sunday, January 30, 2011 11:37:21 UTC",37.8477,-122.0383,1.8,5.20,69,"San Francisco Bay area, California"
nc,71522236,0,"Sunday, January 30, 2011 11:33:05 UTC",37.8450,-122.0327,2.0,4.80,18,"San Francisco Bay area, California"
nc,71522231,3,"Sunday, January 30, 2011 11:29:39 UTC",37.8493,-122.0297,3.2,7.80,76,"San Francisco Bay area, California"
ci,14924964,2,"Sunday, January 30, 2011 11:19:52 UTC",34.5342,-118.1332,1.5,10.40,31,"Southern California"
nc,71522226,1,"Sunday, January 30, 2011 11:18:46 UTC",37.8460,-122.0328,2.4,6.60,44,"San Francisco Bay area, California"
nc,71522221,3,"Sunday, January 30, 2011 11:13:06 UTC",37.8480,-122.0337,3.2,8.50,65,"San Francisco Bay area, California"
nc,71522216,0,"Sunday, January 30, 2011 11:11:20 UTC",38.8345,-122.7983,1.0,2.40,12,"Northern California"
nc,71522211,0,"Sunday, January 30, 2011 11:07:51 UTC",37.8492,-122.0253,1.7,5.00,11,"San Francisco Bay area, California"
nc,71522206,0,"Sunday, January 30, 2011 10:19:26 UTC",35.6258,-120.7340,1.6,5.50,19,"Central California"
nc,71522201,0,"Sunday, January 30, 2011 10:12:14 UTC",38.8245,-122.7907,0.9,2.50,14,"Northern California"
nc,71522196,2,"Sunday, January 30, 2011 10:00:50 UTC",37.5315,-118.6618,0.8,13.20,11,"Central California"
nc,71522186,3,"Sunday, January 30, 2011 09:36:13 UTC",39.2417,-120.0993,2.7,8.40,22,"Northern California"
nc,71522191,0,"Sunday, January 30, 2011 09:35:19 UTC",37.8467,-122.0245,1.6,4.60, 9,"San Francisco Bay area, California"
nc,71522181,0,"Sunday, January 30, 2011 09:21:54 UTC",36.7487,-121.1097,1.2,5.20,10,"Central California"
ci,14924940,2,"Sunday, January 30, 2011 09:12:57 UTC",33.4787,-116.5720,1.2,10.60,45,"Southern California"
nc,71522166,0,"Sunday, January 30, 2011 09:09:25 UTC",38.8300,-122.8668,0.6,2.50, 6,"Northern California"
ci,14924924,2,"Sunday, January 30, 2011 09:05:57 UTC",33.9797,-116.9787,1.7,17.20,103,"Southern California"
nc,71522161,0,"Sunday, January 30, 2011 08:51:12 UTC",38.8157,-122.8198,0.9,3.10, 9,"Northern California"
uw,01300841,1,"Sunday, January 30, 2011 08:41:39 UTC",46.2801,-122.2070,1.4,3.60,20,"Mount St. Helens area, Washington"
nc,71522156,3,"Sunday, January 30, 2011 08:40:31 UTC",38.8360,-122.7738,2.1,2.80,63,"Northern California"
ci,14924908,2,"Sunday, January 30, 2011 08:39:26 UTC",33.1335,-115.6153,1.4,10.90,18,"Southern California"
nc,71522141,2,"Sunday, January 30, 2011 07:32:35 UTC",38.7550,-122.7197,1.8,1.90,47,"Northern California"
uw,01300648,1,"Sunday, January 30, 2011 06:48:12 UTC",46.2808,-122.2046,1.2,4.00,21,"Mount St. Helens area, Washington"
nm,013011a,B,"Sunday, January 30, 2011 06:34:33 UTC",37.7948,-90.4982,2.0,5.20,22,"southeastern Missouri"
nc,71522136,0,"Sunday, January 30, 2011 06:11:41 UTC",38.7868,-122.7705,0.5,2.20, 9,"Northern California"
ak,10165310,1,"Sunday, January 30, 2011 05:55:58 UTC",61.9234,-149.0234,1.9,2.50,14,"Southern Alaska"
ci,14924884,2,"Sunday, January 30, 2011 05:44:33 UTC",33.9987,-116.2920,1.6,7.10,54,"Southern California"
ci,14924876,2,"Sunday, January 30, 2011 05:34:19 UTC",32.8000,-116.1905,1.7,7.00,60,"Southern California"
pr,11030002,0,"Sunday, January 30, 2011 05:29:55 UTC",19.1618,-66.0419,3.1,57.50,10,"Puerto Rico region"
nc,71522126,0,"Sunday, January 30, 2011 05:28:15 UTC",38.8148,-122.8085,1.1,3.90, 9,"Northern California"
ak,10165302,1,"Sunday, January 30, 2011 04:47:57 UTC",63.1691,-150.5710,2.0,122.90,13,"Central Alaska"
pr,11030001,0,"Sunday, January 30, 2011 04:43:10 UTC",19.1298,-66.0449,3.2,28.70,13,"Puerto Rico region"
nc,71522121,0,"Sunday, January 30, 2011 04:39:17 UTC",38.7835,-122.7437,1.5,1.90,19,"Northern California"
nc,71522111,0,"Sunday, January 30, 2011 04:32:33 UTC",38.7797,-122.7557,0.5,0.00, 7,"Northern California"
us,b00016aq,2,"Sunday, January 30, 2011 04:28:36 UTC",-21.7978,168.9495,5.1,20.70,34,"Loyalty Islands, New Caledonia"
nc,71522106,0,"Sunday, January 30, 2011 04:02:28 UTC",38.7560,-122.7293,1.4,2.50,13,"Northern California"
ak,10165293,1,"Sunday, January 30, 2011 03:57:53 UTC",63.4497,-149.9824,1.4,119.30,12,"Central Alaska"
us,2011gtan,2,"Sunday, January 30, 2011 03:48:34 UTC",11.9852,43.9039,4.8,10.00,26,"near the coast of Djibouti"
uw,01300320,1,"Sunday, January 30, 2011 03:20:47 UTC",46.2771,-122.2113,1.9,5.70,17,"Mount St. Helens area, Washington"
ak,10165287,1,"Sunday, January 30, 2011 03:14:45 UTC",59.7548,-148.3176,3.1,3.80,40,"Kenai Peninsula, Alaska"
us,b00016a9,4,"Sunday, January 30, 2011 02:48:11 UTC",-29.4868,-69.3215,4.4,109.20,43,"San Juan, Argentina"
us,b00016a3,4,"Sunday, January 30, 2011 02:28:43 UTC",12.0120,44.0133,4.9,10.00,47,"near the coast of Yemen"
us,b000169w,4,"Sunday, January 30, 2011 02:04:55 UTC",13.0791,145.8242,5.1,61.60,182,"Guam region"
us,b000169d,6,"Sunday, January 30, 2011 01:56:14 UTC",30.6532,141.9546,4.9,24.70,77,"Izu Islands, Japan region"
ak,10165276,1,"Sunday, January 30, 2011 01:54:10 UTC",61.7490,-149.6404,2.2,28.60,23,"Southern Alaska"
ak,10165272,1,"Sunday, January 30, 2011 01:43:32 UTC",63.2900,-151.2070,1.5,0.00, 7,"Central Alaska"
